bshnr;Datum;Wert;Abweichung;Vorhersage;MOS_UTC;MOS_GZ;Warnung;Notiz
101P;2020-04-02 08:57:00;427;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
101P;2020-04-02 15:45:00;629;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
101P;2020-04-02 21:54:00;452;25;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
101P;2020-04-03 04:12:00;649;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
103P;2020-04-02 11:09:00;354;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
103P;2020-04-02 17:51:00;717;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
103P;2020-04-03 00:16:00;404;25;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
103P;2020-04-03 06:26:00;727;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
111P;2020-04-02 09:14:00;422;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
111P;2020-04-02 15:49:00;633;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
111P;2020-04-02 22:12:00;459;25;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
111P;2020-04-03 04:39:00;653;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
502P;2020-04-02 13:27:00;352;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
502P;2020-04-02 19:19:00;783;20;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
502P;2020-04-03 02:15:00;407;25;2020-04-02 05:42:00;2020-04-02 11:00:00;2020-04-02 12:00:00;Normal;
