bshnr;Datum;Wert;Abweichung;Vorhersage;MOS_UTC;MOS_GZ;Warnung;Notiz
101P;2020-04-03 11:04:00;427;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
101P;2020-04-03 16:49:00;599;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
101P;2020-04-03 23:39:00;368;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
101P;2020-04-04 06:11:00;579;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
103P;2020-04-03 12:50:00;366;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
103P;2020-04-03 19:13:00;667;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
103P;2020-04-04 01:29:00;304;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
103P;2020-04-04 08:27:00;637;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
111P;2020-04-03 11:21:00;447;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
111P;2020-04-03 17:09:00;613;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
111P;2020-04-04 00:13:00;372;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
111P;2020-04-04 06:24:00;573;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
502P;2020-04-03 15:07:00;361;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
502P;2020-04-03 20:36:00;733;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
502P;2020-04-04 04:01:00;322;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
502P;2020-04-04 09:56:00;690;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
505P;2020-04-03 11:53:00;407;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
505P;2020-04-03 18:37:00;654;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
505P;2020-04-04 00:44:00;345;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
505P;2020-04-04 07:47:00;623;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
506P;2020-04-03 13:25:00;423;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
506P;2020-04-03 19:04:00;635;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
506P;2020-04-04 02:31:00;361;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
506P;2020-04-04 08:10:00;615;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
507P;2020-04-03 12:02:00;379;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
507P;2020-04-03 18:23:00;640;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
507P;2020-04-04 00:31:00;307;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
507P;2020-04-04 07:35:00;600;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
508P;2020-04-03 17:09:00;372;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
508P;2020-04-03 22:17:00;715;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
508P;2020-04-04 06:09:00;311;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
508P;2020-04-04 11:38:00;675;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
509A;2020-04-03 12:26:00;427;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
509A;2020-04-03 17:44:00;598;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
509A;2020-04-04 01:16:00;378;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
509A;2020-04-04 06:48:00;577;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
510P;2020-04-03 13:28:00;360;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
510P;2020-04-03 19:42:00;642;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
510P;2020-04-04 02:08:00;320;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
510P;2020-04-04 08:56:00;631;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
512P;2020-04-03 12:25:00;380;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
512P;2020-04-03 18:59:00;668;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
512P;2020-04-04 00:58:00;305;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
512P;2020-04-04 08:02:00;638;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
624P;2020-04-03 13:58:00;436;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
624P;2020-04-03 20:24:00;593;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
624P;2020-04-04 02:58:00;386;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
624P;2020-04-04 09:32:00;573;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
631P;2020-04-03 13:38:00;408;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
631P;2020-04-03 19:32:00;616;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
631P;2020-04-04 02:31:00;348;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
631P;2020-04-04 08:38:00;596;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
635P;2020-04-03 14:30:00;387;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
635P;2020-04-03 20:06:00;622;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
635P;2020-04-04 03:15:00;337;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
635P;2020-04-04 09:19:00;612;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
664P;2020-04-03 13:27:00;415;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
664P;2020-04-03 19:24:00;642;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
664P;2020-04-04 02:33:00;363;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
664P;2020-04-04 08:16:00;622;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
734P;2020-04-03 12:15:00;415;25;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
734P;2020-04-03 17:49:00;612;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
734P;2020-04-04 01:05:00;353;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
734P;2020-04-04 07:29:00;592;20;2020-04-03 11:21:00;2020-04-03 13:45:00;2020-04-03 14:45:00;Normal;
